Date,Open,High,Low,Close,Volume
9/4/2022,19832.4707,19999.68945,19636.81641,19986.71289,25245861652
9/5/2022,19988.78906,20031.16016,19673.04688,19812.37109,28813460025
9/6/2022,19817.72461,20155.26953,18800.17188,18837.66797,43403978910
9/7/2022,18837.68359,19427.17188,18644.4668,19290.32422,35239757134
9/8/2022,19289.94141,19417.35156,19076.71484,19329.83398,32194477850
9/9/2022,19328.14063,21439.41016,19310.96289,21381.15234,48469528171
9/10/2022,21376.91211,21760.27539,21168.72266,21680.53906,36913738894
9/11/2022,21678.54297,21770.55273,21406.94531,21769.25586,34493951963
9/12/2022,21770.14844,22439.18164,21603.89648,22370.44922,50212088965
9/13/2022,22371.48047,22673.82031,20062.66992,20296.70703,51091116622
9/14/2022,20184.55469,20467.20117,19793.39648,20241.08984,37872380889
9/15/2022,20242.28906,20318.16602,19636.73438,19701.21094,36389011503
9/16/2022,19704.00586,19870.62891,19400.07617,19772.58398,30123362273
9/17/2022,19777.0332,20162.53125,19777.0332,20127.57617,24957448100
9/18/2022,20127.23438,20127.23438,19387.49219,19419.50586,31254779144
9/19/2022,19418.57227,19639.48047,18390.31836,19544.12891,40177002624
9/20/2022,19545.5918,19602.45703,18813.45508,18890.78906,36791346508
9/21/2022,18891.2832,19674.63086,18290.31445,18547.40039,46363793975
9/22/2022,18534.65039,19456.91016,18415.5918,19413.55078,41135767926
9/23/2022,19412.40039,19464.67188,18617.55273,19297.63867,38896078052
9/24/2022,19296.99023,19310.19727,18861.97461,18937.01172,26149643168
9/25/2022,18936.31055,19134.73242,18696.46875,18802.09766,23359966112
9/26/2022,18803.90039,19274.87305,18721.28516,19222.67188,44148798321
9/27/2022,19221.83984,20338.45508,18915.66797,19110.54688,58571439619
9/28/2022,19104.62109,19688.34375,18553.29688,19426.7207,53071298734
9/29/2022,19427.7793,19589.26563,18924.35352,19573.05078,41037843771
9/30/2022,19573.43164,20109.84961,19265.66211,19431.78906,43975248085
10/1/2022,19431.10547,19471.1543,19231.08203,19312.0957,18719537670
10/2/2022,19311.84961,19370.30859,18970.62109,19044.10742,20765955327
10/3/2022,19044.06836,19653.54297,19025.22656,19623.58008,30484729489
10/4/2022,19623.58398,20380.34375,19523.83984,20336.84375,35887278685
10/5/2022,20335.90039,20343.74805,19801.80078,20160.7168,33223790572
10/6/2022,20161.03906,20408.39258,19900.08789,19955.44336,34711412966
10/7/2022,19957.55859,20041.08594,19395.79297,19546.84961,29227315390
10/8/2022,19546.32813,19601.69531,19299.41406,19416.56836,16437423167
10/9/2022,19417.47852,19542.53906,19349.25977,19446.42578,16837262532
10/10/2022,19446.41602,19515.4668,19102.97852,19141.48438,27425022774
10/11/2022,19139,19241.96094,18925.60352,19051.41797,28711532910
10/12/2022,19052.64648,19203.19922,19029.75781,19157.44531,24950173846
10/13/2022,19156.9668,19453.32813,18319.82227,19382.9043,44219840004
10/14/2022,19382.5332,19889.14648,19115.4082,19185.65625,38452356727
10/15/2022,19185.4375,19212.54102,19019.25,19067.63477,16192235532
10/16/2022,19068.91406,19389.60352,19068.91406,19268.09375,17988916650
